"theta1","theta2","Loss"
-0.99,-0.86,7530.60500148015
-0.99,-0.85,7525.52204714004
-0.99,-0.84,7520.49530372097
-0.99,-0.83,7515.52487681495
-0.99,-0.82,7510.61087108729
-0.99,-0.81,7505.75339026649
-0.99,-0.8,7500.95253713429
-0.99,-0.79,7496.20841351567
-0.99,-0.78,7491.52112026897
-0.99,-0.77,7486.89075727603
-0.99,-0.76,7482.31742343236
-0.99,-0.75,7477.80121663745
-0.99,-0.74,7473.34223378506
-0.99,-0.73,7468.94057075361
-0.99,-0.72,7464.59632239659
-0.99,-0.71,7460.30958253314
-0.99,-0.7,7456.08044393857
-0.99,-0.69,7451.90899833501
-0.99,-0.68,7447.79533638217
-0.99,-0.67,7443.7395476681
-0.99,-0.66,7439.74172070007
-0.99,-0.65,7435.80194289553
-0.99,-0.64,7431.92030057311
-0.99,-0.63,7428.09687894378
-0.99,-0.62,7424.33176210199
-0.99,-0.61,7420.62503301699
-0.99,-0.6,7416.97677352419
-0.99,-0.59,7413.38706431665
-0.99,-0.58,7409.85598493656
-0.99,-0.57,7406.38361376698
-0.99,-0.56,7402.97002802352
-0.99,-0.55,7399.61530374621
-0.99,-0.54,7396.31951579145
-0.99,-0.53,7393.08273782404
-0.99,-0.52,7389.90504230935
-0.99,-0.51,7386.78650050554
-0.99,-0.5,7383.72718245598
-0.99,-0.49,7380.72715698169
-0.99,-0.48,7377.78649167392
-0.99,-0.47,7374.90525288688
-0.99,-0.46,7372.08350573052
-0.99,-0.45,7369.32131406351
-0.99,-0.44,7366.61874048624
-0.99,-0.43,7363.97584633403
-0.99,-0.42,7361.39269167041
-0.99,-0.41,7358.86933528054
-0.99,-0.4,7356.40583466477
-0.99,-0.39,7354.00224603226
-0.99,-0.38,7351.65862429485
-0.99,-0.37,7349.37502306096
-0.99,-0.36,7347.15149462964
-0.99,-0.35,7344.98808998479
-0.99,-0.34,7342.88485878947
-0.99,-0.33,7340.84184938041
-0.99,-0.32,7338.85910876255
-0.99,-0.31,7336.93668260385
-0.99,-0.3,7335.07461523015
-0.99,-0.29,7333.27294962018
-0.99,-0.28,7331.53172740076
-0.99,-0.27,7329.85098884213
-0.99,-0.26,7328.23077285336
-0.99,-0.25,7326.67111697801
